"NUMERO","ZONA_NUMERO","NOME","SECOES_PREVISTAS","LATITUDE","LONGITUDE"
1686,6,"EDUARDO LIMA E SILVA - ESCOLA ESTADUAL",22,-8.7924375,-63.8936077
1554,6,"RIO PARDO - ESCOLA MUNICIPAL - DISTRITO RIO PARDO",9,-9.6262801,-63.9670073
1600,6,"MARCO AZUL - ESCOLA MUNICIPAL - COMUNIDADE MARCO AZUL",2,-9.7915781,-63.7773151
1422,6,"CLASSE A - UNIDADE II - COLÉGIO PARTICULAR",25,-8.7868066,-63.8967103
1759,6,"DISTRITO FORTALEZA DO ABUNÃ - BARAO DO RIO BRANCO - ESCOLA ESTADUAL",2,-9.7813938,-65.5290656
1414,6,"SAUL BENNESBY - ESCOLA MUNICIPAL",12,-8.7970878,-63.8979677
1716,6,"13 DE MAIO- ESCOLA ESTADUAL - DISTRITO EXTREMA",9,-9.7778146,-66.3561228
1376,6,"RIO BRANCO - ESCOLA ESTADUAL",22,-8.7643882,-63.8881511
1082,6,"GETÚLIO VARGAS - ESCOLA ESTADUAL",17,-8.77174,-63.9025167
1546,6,"ABC DE JACI - ESCOLA MUNICIPAL - DISTRITO JACY PARANA",8,-9.254091,-64.4168177
1740,6,"DISTRITO JACY PARANA - ESCOLA JOAQUIM VICENTE RONDON",4,-9.2612279,-64.4024324
1643,6,"SANTA JÚLIA - ESCOLA MUNICIPAL - VILA PENHA - TAQUARA",3,-9.8665328,-65.2685271
1627,6,"MANOEL PEDRO PEREIRA - ESCOLA MUNICIPAL - BR 364 - KM 24",2,-8.9496328,-63.9822713
1694,6,"MORADORES DA LINHA 8 - ASSOCIAÇÃO - DISTRITO UNIAO BANDEIRANTE",4,-9.8862901,-64.6497344
1830,6,"PROFESSORA RONILZA CORDEIRO AFONSO DIAS - ESCOLA MUNICIPAL",8,-8.80165811,-63.89429645
1597,6,"MARIA JACIRA FEITOSA DE CARVALHO - ESCOLA MUN. DISTR. NOVA CALIFÓRNIA",12,-9.7594721,-66.6172569
1562,6,"MARIA CASAROTO ABATI - ESCOLA MUNICIPAL - DISTR VISTA ALEGRE DO ABUNÃ",10,-9.6570192,-65.7358423
1660,6,"FLOR DO CUPUAÇÚ - ESCOLA MUNICIPAL - REASSENTAMENTO SANTA RITA",2,-9.1117982,-64.1677903
1449,6,"MANOEL APARÍCIO NUNES ALMEIDA - ESCOLA MUNICIPAL",13,-8.8114063,-63.8806964
1767,6,"KYOWÃ - ESCOLA ESTADUAL - ALDEIA KARITIANA",1,-9.29543366,-64.00395461
1732,6,"FLOR DE LARANJEIRA - ESCOLA MUNICIPAL",4,-8.7925428,-63.8936165
1848,6,"KAWAPU - ESCOLA ESTADUAL - ALDEIA KAWAPU - DISTRITO DE EXTREMA",1,-9.57522161,-66.3789518
1708,6,"MARECHAL CANDIDO RONDON - ESCOLA ESTADUAL - DISTRITO ABUNÃ",5,-9.6986392,-65.3677618
1384,6,"BELA VISTA - ESCOLA ESTADUAL",21,-8.7987177,-63.8923341
1147,6,"FRANKLIN DELANO ROOSEVELT - ESCOLA ESTADUAL",8,-8.7753114,-63.9092157
1570,6,"MORADORES DA LINHA 01 - ASSOCIAÇÃO - DISTRITO UNIAO BANDEIRANTE",2,-9.5738221,-64.5149607
1775,6,"JAYME PEIXOTO DE ALENCAR - ESCOLA MUNICIPAL - DISTRITO EXTREMA",10,-9.7721667,-66.3630071
1538,6,"DISTRITO JACY PARANA - ESCOLA CORA CORALINA",10,-9.2529539,-64.4055215
1635,6,"ANTONIO AUGUSTO VASCONCELOS - ESCOLA MUNICIPAL - CACHOEIRA TEOTONIO",5,-8.8719495,-64.0546273
1457,6,"JOÃO AFRO VIEIRA - ESCOLA MUNICIPAL - VILA PRINCESA",4,-8.8493216,-63.940853
1392,6,"NOSSA SENHORA DAS GRACAS - ESCOLA ESTADUAL",12,-8.7681418,-63.8934847
1430,6,"TIRADENTES VII - COLÉGIO MILITAR ESTADUAL",17,-8.774399,-63.890725
1406,6,"CAPITAO CLAUDIO MANOEL DA COSTA - ESCOLA ESTADUAL",21,-8.8068542,-63.8845819
1651,6,"PROFESSORA ANTONIA VIEIRA FROTA - ESCOLA ESTADUAL - DISTR VISTA ALEGRE",10,-9.6573266,-65.7472467
1104,6,"PADRE CHIQUINHO - ESCOLA MUNICIPAL",25,-8.7770283,-63.8987265
1040,6,"SÃO LUCAS - CENTRO UNIVERSITÁRIO PARTICULAR",15,-8.7664496,-63.8998567
1619,6,"NOSSA SENHORA DE NAZARE -ESCOLA MUNICIPAL - DISTRIT NOVA MUTUM PARANA",7,-9.2950941,-64.5511678
1678,6,"03 DE DEZEMBRO - ESCOLA MUNICIPAL - DISTRITO UNIÃO BANDEIRANTE",12,-9.7099029,-64.5341987
1589,6,"CÉSAR FREITAS CASSOL -ESCOLA ESTADUAL - DISTRITO UNIÃO BANDEIRANTE",12,-9.7013268,-64.5330314
